isoform	gene	length
PB.214.8	novelGene_1213	609
PB.214.17	novelGene_1223	2184
PB.214.20	novelGene_1225	2184
PB.214.21	novelGene_1227	1125
PB.214.29	novelGene_1235	849
PB.214.30	novelGene_1236	615
PB.214.36	novelGene_1242	615
PB.214.37	novelGene_1243	615
PB.214.38	novelGene_1244	525
PB.217.1	novelGene_1256	1191
PB.217.2	novelGene_1257	1191
PB.217.5	novelGene_1260	375
PB.217.6	novelGene_1261	375
PB.220.5	novelGene_1278	636
PB.220.7	novelGene_1282	576
PB.220.12	novelGene_1287	576
PB.220.15	novelGene_1288	576
PB.220.20	novelGene_1294	420
PB.220.28	novelGene_1302	330
PB.223.5	novelGene_1344	483
PB.236.1	novelGene_1375	378
PB.248.5	novelGene_1441	375
PB.248.4	novelGene_1442	375
PB.248.3	novelGene_1443	375
PB.248.2	novelGene_1444	375
PB.248.9	novelGene_1448	768
PB.248.7	novelGene_1450	2172
PB.248.15	novelGene_1454	2172
PB.248.46	novelGene_1485	345
PB.269.8	novelGene_1535	2667
PB.269.9	novelGene_1536	2187
PB.269.11	novelGene_1539	2667
PB.269.10	novelGene_1541	2667
PB.269.16	novelGene_1542	2667
PB.269.21	novelGene_1549	486
PB.269.22	novelGene_1550	327
PB.269.23	novelGene_1551	327
PB.269.25	novelGene_1553	315
PB.270.38	novelGene_1611	1797
PB.270.60	novelGene_1633	687
PB.270.61	novelGene_1634	687
PB.270.63	novelGene_1636	687
PB.270.66	novelGene_1639	600
PB.273.26	novelGene_1693	828
PB.273.28	novelGene_1694	828
PB.274.2	novelGene_1695	1479
PB.274.3	novelGene_1697	1479
PB.279.1	novelGene_1723	1488
PB.279.3	novelGene_1738	465
PB.279.10	novelGene_1740	1347
PB.279.11	novelGene_1741	1209
PB.279.19	novelGene_1744	765
PB.279.22	novelGene_1745	1488
PB.279.24	novelGene_1747	1395
PB.279.13	novelGene_1749	465
PB.279.15	novelGene_1750	465
PB.279.18	novelGene_1751	765
PB.279.21	novelGene_1758	1488
PB.279.39	novelGene_1761	1347
PB.279.40	novelGene_1762	1488
PB.279.42	novelGene_1764	1347
PB.279.47	novelGene_1769	1167
PB.279.48	novelGene_1770	1071
PB.279.49	novelGene_1773	765
PB.279.51	novelGene_1775	765
PB.279.53	novelGene_1777	483
PB.279.60	novelGene_1784	465
PB.279.65	novelGene_1789	405
PB.279.67	novelGene_1791	405
PB.279.68	novelGene_1792	405
PB.279.71	novelGene_1795	405
PB.301.124	novelGene_2089	384
PB.307.2	novelGene_2196	528
PB.307.5	novelGene_2200	2121
PB.307.8	novelGene_2201	612
PB.307.21	novelGene_2206	528
PB.307.15	novelGene_2208	858
PB.307.12	novelGene_2209	858
PB.307.18	novelGene_2211	996
PB.307.17	novelGene_2212	711
PB.307.11	novelGene_2214	1680
PB.307.10	novelGene_2215	1818
PB.307.9	novelGene_2216	2121
PB.307.27	novelGene_2217	741
PB.307.25	novelGene_2219	1533
PB.307.24	novelGene_2220	2121
PB.307.41	novelGene_2226	450
PB.307.40	novelGene_2227	711
PB.307.39	novelGene_2228	858
PB.307.35	novelGene_2230	996
PB.307.38	novelGene_2231	741
PB.307.34	novelGene_2232	996
PB.307.32	novelGene_2233	1593
PB.307.30	novelGene_2234	2031
PB.307.29	novelGene_2236	2121
PB.307.47	novelGene_2237	858
PB.307.46	novelGene_2238	858
PB.307.45	novelGene_2239	2115
PB.307.49	novelGene_2242	765
PB.309.9	novelGene_2267	648
PB.309.12	novelGene_2270	762
PB.309.14	novelGene_2271	423
PB.309.16	novelGene_2273	762
PB.309.21	novelGene_2277	648
PB.312.10	novelGene_2335	1713
PB.312.16	novelGene_2340	597
PB.312.25	novelGene_2348	486
PB.312.24	novelGene_2349	597
PB.312.23	novelGene_2350	1560
PB.312.20	novelGene_2351	1713
PB.311.1	novelGene_2372	435
PB.311.2	novelGene_2375	435
PB.316.10	novelGene_2397	459
PB.316.17	novelGene_2402	1395
PB.316.67	novelGene_2454	939
PB.316.68	novelGene_2455	609
PB.316.69	novelGene_2456	609
PB.316.70	novelGene_2457	459
PB.321.11	novelGene_2478	357
PB.321.12	novelGene_2479	429
PB.321.14	novelGene_2481	357
PB.323.5	novelGene_2496	423
PB.323.8	novelGene_2501	2286
PB.323.9	novelGene_2502	2286
PB.323.11	novelGene_2503	2163
PB.323.12	novelGene_2505	423
PB.323.18	novelGene_2515	2286
PB.323.15	novelGene_2518	1488
PB.323.30	novelGene_2520	354
PB.323.29	novelGene_2521	915
PB.323.26	novelGene_2524	915
PB.323.32	novelGene_2525	1116
PB.334.28	novelGene_2610	420
PB.334.46	novelGene_2628	315
PB.334.48	novelGene_2629	1083
PB.334.50	novelGene_2630	315
PB.334.49	novelGene_2631	1083
PB.334.55	novelGene_2636	315
PB.334.60	novelGene_2644	840
PB.338.16	novelGene_2666	1473
PB.338.18	novelGene_2667	852
PB.338.28	novelGene_2673	1473
PB.338.26	novelGene_2676	1473
PB.338.30	novelGene_2678	852
PB.337.7	novelGene_2695	2127
PB.337.18	novelGene_2702	2127
PB.337.48	novelGene_2732	1164
PB.337.59	novelGene_2743	348
PB.344.6	novelGene_2797	756
PB.344.4	novelGene_2799	867
PB.344.3	novelGene_2800	867
PB.344.20	novelGene_2804	660
PB.344.39	novelGene_2824	867
PB.343.2	novelGene_2850	303
PB.343.8	novelGene_2856	480
PB.343.11	novelGene_2858	480
PB.343.5	novelGene_2859	303
PB.343.15	novelGene_2862	480
PB.343.13	novelGene_2863	480
PB.350.5	novelGene_2891	1365
PB.350.23	novelGene_2908	351
PB.352.1	novelGene_2950	642
PB.352.4	novelGene_2952	642
PB.352.24	novelGene_2970	342
PB.352.22	novelGene_2972	342
PB.352.14	novelGene_2973	342
PB.352.20	novelGene_2974	558
PB.352.19	novelGene_2975	642
PB.352.18	novelGene_2979	504
PB.352.12	novelGene_2981	342
PB.352.13	novelGene_2982	642
PB.352.11	novelGene_2983	642
PB.352.39	novelGene_2984	342
PB.352.38	novelGene_2985	342
PB.352.37	novelGene_2986	342
PB.352.40	novelGene_2988	558
PB.352.43	novelGene_2990	642
PB.352.44	novelGene_2991	342
PB.352.47	novelGene_2995	642
PB.352.55	novelGene_2998	342
PB.352.54	novelGene_2999	504
PB.352.52	novelGene_3000	642
PB.352.50	novelGene_3001	342
PB.352.51	novelGene_3002	642
PB.352.58	novelGene_3005	342
PB.352.67	novelGene_3011	342
PB.352.66	novelGene_3012	342
PB.352.63	novelGene_3014	342
PB.352.73	novelGene_3020	342
PB.352.104	novelGene_3030	342
PB.352.103	novelGene_3034	342
PB.352.96	novelGene_3035	342
PB.352.101	novelGene_3038	558
PB.352.97	novelGene_3039	342
PB.352.100	novelGene_3040	642
PB.352.90	novelGene_3041	342
PB.352.92	novelGene_3045	342
PB.352.88	novelGene_3046	342
PB.352.78	novelGene_3048	342
PB.352.86	novelGene_3051	342
PB.352.95	novelGene_3052	642
PB.352.111	novelGene_3055	342
PB.352.110	novelGene_3057	495
PB.359.14	novelGene_3085	588
PB.359.13	novelGene_3086	588
PB.359.7	novelGene_3089	474
PB.359.4	novelGene_3090	474
PB.359.18	novelGene_3098	588
PB.359.17	novelGene_3099	588
PB.360.6	novelGene_3111	1449
PB.360.5	novelGene_3112	1449
PB.360.4	novelGene_3113	774
PB.360.9	novelGene_3115	1449
PB.360.20	novelGene_3128	774
PB.360.22	novelGene_3130	408
PB.361.17	novelGene_3151	348
PB.361.52	novelGene_3185	324
PB.361.51	novelGene_3186	324
PB.361.50	novelGene_3188	1446
PB.361.58	novelGene_3192	324
PB.361.60	novelGene_3196	348
PB.361.69	novelGene_3198	1023
PB.361.68	novelGene_3199	324
PB.362.3	novelGene_3229	342
PB.362.4	novelGene_3230	342
PB.363.29	novelGene_3268	357
PB.363.24	novelGene_3271	651
PB.363.23	novelGene_3272	1002
PB.363.22	novelGene_3273	1119
PB.363.21	novelGene_3274	1119
PB.363.20	novelGene_3275	1257
PB.363.46	novelGene_3279	444
PB.363.47	novelGene_3280	438
PB.363.44	novelGene_3282	561
PB.363.45	novelGene_3283	561
PB.363.42	novelGene_3286	1002
PB.363.41	novelGene_3287	1473
PB.363.53	novelGene_3292	357
PB.363.52	novelGene_3293	1428
PB.363.60	novelGene_3298	357
PB.363.59	novelGene_3299	825
PB.363.58	novelGene_3300	1119
PB.363.56	novelGene_3301	1347
PB.363.71	novelGene_3307	438
PB.363.68	novelGene_3309	561
PB.363.70	novelGene_3310	561
PB.363.69	novelGene_3311	651
PB.363.67	novelGene_3312	825
PB.363.66	novelGene_3313	1002
PB.363.64	novelGene_3314	1473
PB.363.79	novelGene_3317	825
PB.372.9	novelGene_3343	981
PB.372.10	novelGene_3344	981
PB.372.26	novelGene_3362	1044
PB.372.39	novelGene_3374	981
PB.372.41	novelGene_3375	981
PB.372.47	novelGene_3382	981
PB.372.52	novelGene_3383	318
PB.372.51	novelGene_3384	738
PB.372.49	novelGene_3386	828
PB.372.53	novelGene_3387	1044
PB.372.55	novelGene_3388	981
PB.372.54	novelGene_3389	912
PB.372.58	novelGene_3393	738
PB.372.65	novelGene_3396	591
PB.372.63	novelGene_3397	801
PB.372.70	novelGene_3403	828
PB.372.69	novelGene_3404	981
PB.372.68	novelGene_3406	999
PB.372.67	novelGene_3407	981
PB.372.77	novelGene_3409	450
PB.372.76	novelGene_3411	666
PB.372.78	novelGene_3412	912
PB.372.81	novelGene_3416	981
PB.372.83	novelGene_3418	450
PB.372.97	novelGene_3421	318
PB.372.95	novelGene_3422	801
PB.372.94	novelGene_3423	912
PB.372.91	novelGene_3425	981
PB.372.89	novelGene_3426	1044
PB.372.88	novelGene_3429	912
PB.372.87	novelGene_3431	981
PB.372.99	novelGene_3433	981
PB.372.100	novelGene_3434	912
PB.372.119	novelGene_3454	525
PB.386.1	novelGene_3493	339
PB.386.2	novelGene_3494	354
PB.386.5	novelGene_3496	339
PB.386.7	novelGene_3497	339
PB.386.21	novelGene_3502	354
PB.386.12	novelGene_3510	339
PB.386.20	novelGene_3515	354
PB.386.27	novelGene_3518	339
PB.386.28	novelGene_3519	339
PB.387.1	novelGene_3525	345
PB.392.5	novelGene_3542	996
PB.392.6	novelGene_3543	1800
PB.391.1	novelGene_3594	696
PB.394.1	novelGene_3595	1164
PB.416.9	novelGene_3658	3159
PB.416.7	novelGene_3659	3453
PB.416.8	novelGene_3660	3006
PB.416.59	novelGene_3719	3009
PB.416.62	novelGene_3722	3138
PB.416.64	novelGene_3724	2535
PB.416.69	novelGene_3730	2829
PB.416.70	novelGene_3731	2424
PB.416.72	novelGene_3733	2424
PB.416.73	novelGene_3734	2127
PB.416.75	novelGene_3736	2421
PB.416.76	novelGene_3737	2325
PB.416.78	novelGene_3739	1551
PB.416.79	novelGene_3740	1845
PB.416.81	novelGene_3742	1845
PB.416.82	novelGene_3743	1845
PB.416.83	novelGene_3744	1845
PB.416.86	novelGene_3747	1623
PB.416.87	novelGene_3748	1503
PB.416.89	novelGene_3750	1209
PB.416.93	novelGene_3756	1209
PB.416.94	novelGene_3757	1320
PB.416.95	novelGene_3758	1449
PB.416.100	novelGene_3762	771
PB.416.99	novelGene_3763	1065
PB.416.102	novelGene_3765	1065
PB.416.108	novelGene_3771	474
PB.416.109	novelGene_3772	345
PB.451.1	novelGene_3882	2928
PB.456.1	novelGene_3900	2787
PB.456.8	novelGene_3906	3699
PB.479.1	novelGene_3995	2142
PB.480.2	novelGene_3999	1122
PB.485.1	novelGene_4007	1524
PB.485.3	novelGene_4010	1524
PB.485.6	novelGene_4012	1524
PB.485.8	novelGene_4014	1524
PB.485.12	novelGene_4018	1524
PB.485.114	novelGene_4120	312
PB.489.3	novelGene_4221	771
PB.489.5	novelGene_4224	378
PB.495.1	novelGene_4297	1794
PB.495.3	novelGene_4299	2133
PB.495.7	novelGene_4303	2133
PB.495.30	novelGene_4326	393
PB.495.33	novelGene_4329	393
PB.495.34	novelGene_4330	393
PB.495.36	novelGene_4332	393
PB.495.37	novelGene_4333	393
PB.500.1	novelGene_4342	1083
PB.500.2	novelGene_4343	1083
PB.501.2	novelGene_4346	2721
PB.501.28	novelGene_4371	579
PB.501.30	novelGene_4373	579
PB.501.32	novelGene_4375	579
PB.501.33	novelGene_4376	579
PB.501.34	novelGene_4377	486
PB.501.35	novelGene_4378	486
PB.501.39	novelGene_4382	369
PB.501.40	novelGene_4383	369
PB.510.1	novelGene_4423	390
PB.511.21	novelGene_4453	597
PB.511.22	novelGene_4454	1344
PB.511.23	novelGene_4455	597
PB.511.28	novelGene_4460	597
PB.511.29	novelGene_4461	597
PB.511.30	novelGene_4462	1101
PB.511.31	novelGene_4463	597
PB.511.32	novelGene_4464	843
PB.511.33	novelGene_4465	597
PB.511.34	novelGene_4466	597
PB.511.35	novelGene_4467	597
PB.511.36	novelGene_4468	339
PB.517.2	novelGene_4479	594
PB.517.8	novelGene_4485	372
PB.514.5	novelGene_4494	429
PB.514.3	novelGene_4495	393
PB.514.4	novelGene_4496	492
PB.514.9	novelGene_4501	1410
PB.514.8	novelGene_4502	1644
PB.515.12	novelGene_4509	693
PB.518.3	novelGene_4521	1548
PB.518.2	novelGene_4522	1638
PB.518.4	novelGene_4523	1743
PB.520.2	novelGene_4525	1266
PB.520.7	novelGene_4530	1266
PB.521.3	novelGene_4571	1167
PB.521.5	novelGene_4572	1248
PB.521.8	novelGene_4575	1080
PB.534.3	novelGene_4596	1059
PB.534.2	novelGene_4598	1755
PB.534.4	novelGene_4599	2313
PB.534.6	novelGene_4600	1950
PB.534.14	novelGene_4605	2313
PB.534.15	novelGene_4607	1950
PB.534.13	novelGene_4608	2313
PB.535.3	novelGene_4797	519
PB.537.1	novelGene_4824	1353
PB.537.2	novelGene_4825	1353
PB.537.3	novelGene_4826	1353
PB.537.6	novelGene_4828	1353
PB.537.7	novelGene_4830	759
PB.537.8	novelGene_4831	1353
PB.537.10	novelGene_4833	1353
PB.537.14	novelGene_4835	921
PB.537.15	novelGene_4838	951
PB.537.25	novelGene_4849	1182
PB.537.26	novelGene_4850	729
PB.537.27	novelGene_4851	729
PB.537.30	novelGene_4854	483
PB.537.31	novelGene_4855	483
PB.545.3	novelGene_4901	1398
PB.545.2	novelGene_4903	1428
PB.545.11	novelGene_4909	1428
PB.545.9	novelGene_4910	1221
PB.545.21	novelGene_4919	1221
PB.545.20	novelGene_4920	1398
PB.545.16	novelGene_4922	1221
PB.545.17	novelGene_4923	1428
PB.545.19	novelGene_4924	1434
PB.545.18	novelGene_4925	1221
PB.545.15	novelGene_4926	1221
PB.546.6	novelGene_4955	363
PB.548.2	novelGene_4970	1839
PB.550.2	novelGene_4991	393
PB.550.4	novelGene_4993	1614
PB.550.5	novelGene_4994	393
PB.552.12	novelGene_5010	1854
PB.561.7	novelGene_5040	1296
PB.561.9	novelGene_5042	1026
PB.561.12	novelGene_5045	1296
PB.561.16	novelGene_5058	861
PB.563.35	novelGene_5108	1605
PB.563.39	novelGene_5109	1275
PB.563.38	novelGene_5110	1569
PB.563.37	novelGene_5111	1605
PB.563.43	novelGene_5116	1569
PB.563.42	novelGene_5117	1605
PB.563.48	novelGene_5120	1011
PB.563.47	novelGene_5121	1473
PB.567.9	novelGene_5228	2601
PB.567.30	novelGene_5245	1311
PB.567.38	novelGene_5253	1014
PB.567.41	novelGene_5256	843
PB.567.43	novelGene_5258	531
PB.567.45	novelGene_5260	531
PB.567.60	novelGene_5275	468
PB.567.61	novelGene_5276	390
PB.573.3	novelGene_5313	690
PB.573.4	novelGene_5314	690
PB.573.7	novelGene_5318	690
PB.586.20	novelGene_5483	699
PB.586.10	novelGene_5490	498
PB.586.6	novelGene_5495	699
PB.586.9	novelGene_5497	1143
PB.586.38	novelGene_5499	699
PB.586.32	novelGene_5503	699
PB.586.33	novelGene_5504	498
PB.586.34	novelGene_5505	699
PB.586.35	novelGene_5506	498
PB.586.39	novelGene_5507	699
PB.586.42	novelGene_5510	699
PB.586.43	novelGene_5511	1143
PB.589.8	novelGene_5526	660
PB.589.7	novelGene_5527	660
PB.589.10	novelGene_5528	660
PB.591.3	novelGene_5577	2649
PB.591.6	novelGene_5580	1557
PB.591.7	novelGene_5581	2928
PB.591.8	novelGene_5582	2928
PB.591.12	novelGene_5586	2574
PB.591.15	novelGene_5589	1221
PB.591.25	novelGene_5599	879
PB.591.26	novelGene_5600	591
PB.594.2	novelGene_5616	1608
PB.594.3	novelGene_5617	1608
PB.595.1	novelGene_5626	4365
PB.597.15	novelGene_5649	408
PB.597.14	novelGene_5650	561
PB.597.9	novelGene_5651	561
PB.597.12	novelGene_5652	561
PB.597.10	novelGene_5653	561
PB.597.11	novelGene_5654	948
PB.597.7	novelGene_5656	1056
PB.597.5	novelGene_5659	561
PB.597.23	novelGene_5662	561
PB.597.22	novelGene_5667	561
PB.596.1	novelGene_5668	513
PB.602.3	novelGene_5673	1605
PB.598.3	novelGene_5682	861
PB.598.10	novelGene_5689	861
PB.598.9	novelGene_5690	1368
PB.598.14	novelGene_5691	1368
PB.603.2	novelGene_5746	786
PB.603.7	novelGene_5750	567
PB.603.5	novelGene_5752	597
PB.603.10	novelGene_5753	327
PB.603.11	novelGene_5755	327
PB.603.21	novelGene_5764	561
PB.603.18	novelGene_5766	552
PB.603.14	novelGene_5769	327
PB.603.22	novelGene_5773	327
PB.603.25	novelGene_5774	327
PB.603.27	novelGene_5775	567
PB.603.12	novelGene_5777	321
PB.603.26	novelGene_5778	561
PB.603.38	novelGene_5782	552
PB.619.1	novelGene_5838	606
PB.619.3	novelGene_5840	696
PB.619.4	novelGene_5841	696
PB.629.9	novelGene_5864	1776
PB.629.36	novelGene_5889	1776
PB.629.42	novelGene_5902	1776
PB.629.44	novelGene_5903	441
PB.639.7	novelGene_5975	375
PB.639.5	novelGene_5978	2565
PB.639.6	novelGene_5979	2505
PB.639.18	novelGene_5984	2928
PB.639.22	novelGene_5989	2481
PB.639.25	novelGene_5994	2421
PB.639.30	novelGene_5996	1071
PB.639.29	novelGene_5997	2481
PB.639.32	novelGene_5999	2481
PB.639.38	novelGene_6001	717
PB.639.33	novelGene_6003	1839
PB.639.35	novelGene_6004	2481
PB.639.40	novelGene_6007	2421
PB.639.43	novelGene_6010	2481
PB.639.42	novelGene_6011	2928
PB.639.41	novelGene_6012	2868
PB.639.47	novelGene_6014	1839
PB.639.67	novelGene_6036	903
PB.639.74	novelGene_6044	588
PB.641.5	novelGene_6093	3756
PB.641.7	novelGene_6095	3756
PB.641.9	novelGene_6097	3756
PB.641.12	novelGene_6100	1737
PB.641.13	novelGene_6101	582
PB.641.14	novelGene_6102	582
PB.643.4	novelGene_6110	1680
PB.643.12	novelGene_6117	1767
PB.643.14	novelGene_6119	1425
PB.643.15	novelGene_6120	1098
PB.643.16	novelGene_6121	924
PB.643.18	novelGene_6123	477
PB.643.19	novelGene_6124	477
PB.643.20	novelGene_6125	477
PB.656.3	novelGene_6140	1377
PB.656.5	novelGene_6143	1038
PB.656.10	novelGene_6146	471
PB.656.9	novelGene_6147	1242
PB.656.14	novelGene_6152	1242
PB.656.18	novelGene_6156	735
PB.656.19	novelGene_6157	609
PB.660.1	novelGene_6257	318
PB.660.5	novelGene_6260	375
PB.660.8	novelGene_6264	384
PB.657.1	novelGene_6266	333
PB.657.3	novelGene_6268	333
PB.664.1	novelGene_6271	1080
PB.664.3	novelGene_6273	1080
PB.664.4	novelGene_6274	1080
PB.664.5	novelGene_6275	1080
PB.666.4	novelGene_6288	1002
PB.666.10	novelGene_6294	702
PB.666.31	novelGene_6315	312
PB.666.38	novelGene_6322	312
PB.680.6	novelGene_6358	3024
PB.680.17	novelGene_6365	552
PB.680.15	novelGene_6367	1668
PB.680.26	novelGene_6373	552
PB.680.25	novelGene_6374	789
PB.680.24	novelGene_6375	789
PB.680.31	novelGene_6379	1668
PB.680.36	novelGene_6401	789
PB.682.2	novelGene_6478	1404
PB.682.5	novelGene_6481	1404
PB.682.6	novelGene_6482	3015
PB.682.10	novelGene_6486	3015
PB.682.12	novelGene_6488	804
PB.682.13	novelGene_6490	756
PB.682.14	novelGene_6491	636
PB.687.1	novelGene_6513	483
PB.688.3	novelGene_6517	543
PB.691.3	novelGene_6522	3369
PB.691.8	novelGene_6527	3369
PB.691.9	novelGene_6528	3318
PB.691.14	novelGene_6533	3369
PB.691.15	novelGene_6534	3369
PB.691.24	novelGene_6541	3198
PB.691.26	novelGene_6542	3093
PB.691.28	novelGene_6547	2700
PB.691.29	novelGene_6548	2424
PB.691.32	novelGene_6551	1914
PB.691.33	novelGene_6552	1374
PB.691.38	novelGene_6557	1080
PB.691.40	novelGene_6559	375
PB.691.41	novelGene_6560	375
PB.690.1	novelGene_6563	582
PB.690.2	novelGene_6564	786
PB.692.10	novelGene_6574	399
PB.697.1	novelGene_6581	798
PB.694.3	novelGene_6587	1182
PB.694.5	novelGene_6589	1182
PB.699.5	novelGene_6604	1050
PB.699.8	novelGene_6606	624
PB.700.6	novelGene_6619	2526
PB.700.3	novelGene_6620	975
PB.700.15	novelGene_6624	2508
PB.700.16	novelGene_6628	2433
PB.701.11	novelGene_6640	1722
PB.701.9	novelGene_6641	1722
PB.701.10	novelGene_6642	1407
PB.701.7	novelGene_6643	1722
PB.701.8	novelGene_6644	1407
PB.718.1	novelGene_6673	594
PB.718.2	novelGene_6674	594
PB.718.5	novelGene_6676	594
PB.718.4	novelGene_6677	594
PB.718.6	novelGene_6678	594
PB.718.11	novelGene_6683	468
PB.718.12	novelGene_6684	378
PB.721.1	novelGene_6690	1434
PB.721.2	novelGene_6691	1077
PB.721.3	novelGene_6692	774
PB.721.4	novelGene_6693	1077
PB.721.5	novelGene_6694	774
PB.721.7	novelGene_6696	417
PB.721.8	novelGene_6697	1434
PB.721.9	novelGene_6698	1077
PB.721.13	novelGene_6703	1434
PB.721.17	novelGene_6705	774
PB.721.18	novelGene_6708	1077
PB.721.21	novelGene_6709	1434
PB.721.19	novelGene_6710	390
PB.721.23	novelGene_6712	1434
PB.721.25	novelGene_6713	747
PB.721.24	novelGene_6714	1077
PB.721.29	novelGene_6718	1389
PB.721.30	novelGene_6719	1200
PB.721.34	novelGene_6723	825
PB.721.35	novelGene_6724	774
PB.724.3	novelGene_6749	333
PB.724.15	novelGene_6759	1416
PB.724.16	novelGene_6760	1374
PB.724.14	novelGene_6761	1374
PB.724.62	novelGene_6806	1374
PB.732.3	novelGene_6825	1257
PB.737.21	novelGene_6876	1251
PB.737.29	novelGene_6883	1251
PB.737.30	novelGene_6884	741
PB.733.2	novelGene_6911	327
PB.733.3	novelGene_6912	327
PB.733.4	novelGene_6913	327
PB.733.9	novelGene_6919	327
PB.733.12	novelGene_6920	327
PB.733.16	novelGene_6923	327
PB.733.8	novelGene_6924	327
PB.733.20	novelGene_6929	327
PB.733.21	novelGene_6930	327
PB.733.22	novelGene_6931	327
PB.733.24	novelGene_6934	327
PB.735.4	novelGene_6974	444
PB.735.5	novelGene_6975	423
PB.735.6	novelGene_6976	444
PB.735.10	novelGene_6980	333
PB.739.4	novelGene_7021	741
PB.739.6	novelGene_7024	741
PB.739.5	novelGene_7025	741
PB.739.10	novelGene_7026	741
PB.739.12	novelGene_7029	357
PB.739.14	novelGene_7031	357
PB.751.11	novelGene_7067	459
PB.751.8	novelGene_7069	1179
PB.751.10	novelGene_7070	978
PB.751.7	novelGene_7072	1179
PB.751.12	novelGene_7073	1179
PB.751.13	novelGene_7075	1179
PB.751.18	novelGene_7079	1179
PB.751.20	novelGene_7081	459
PB.751.23	novelGene_7082	1179
PB.751.22	novelGene_7085	1179
PB.762.3	novelGene_7107	1221
PB.762.11	novelGene_7110	1242
PB.762.7	novelGene_7114	1221
PB.808.2	novelGene_7353	675
PB.808.13	novelGene_7359	528
PB.808.15	novelGene_7360	381
PB.808.9	novelGene_7362	594
PB.808.12	novelGene_7363	675
PB.808.14	novelGene_7365	381
PB.808.6	novelGene_7366	675
PB.808.5	novelGene_7367	675
